"iso3c","country","origin","cum_pressure_prop_final","cum_pressure_percent_final"
"ABW","Aruba","freshwater",0.000335950489918006,0.03
"ABW","Aruba","land",0.0335369334949346,3.35
"ABW","Aruba","marine",0.966127116015147,96.61
"AFG","Afghanistan","freshwater",0.00198304404488951,0.2
"AFG","Afghanistan","land",0.998016955955111,99.8
"AFG","Afghanistan","marine",0,0
"AGO","Angola","freshwater",0.00496038587068651,0.5
"AGO","Angola","land",0.731153976130953,73.12
"AGO","Angola","marine",0.263885637998361,26.39
"AIA","Anguilla","freshwater",0.000996835506011013,0.1
"AIA","Anguilla","land",0.0301968842603404,3.02
"AIA","Anguilla","marine",0.968806280233649,96.88
"ALA","Åland","freshwater",0.000594940477667547,0.06
"ALA","Åland","land",0.826491739176527,82.65
"ALA","Åland","marine",0.172913320345805,17.29
"ALB","Albania","freshwater",0.00107966523337306,0.11
"ALB","Albania","land",0.961479048131208,96.15
"ALB","Albania","marine",0.0374412866354192,3.74
"AND","Andorra","freshwater",0.00266578329250645,0.27
"AND","Andorra","land",0.997334216707494,99.73
"AND","Andorra","marine",0,0
"ARE","United Arab Emirates","freshwater",0.000476172995660667,0.05
"ARE","United Arab Emirates","land",0.623119887520638,62.31
"ARE","United Arab Emirates","marine",0.376403939483702,37.64
"ARG","Argentina","freshwater",0.0012830098826512,0.13
"ARG","Argentina","land",0.892928186543468,89.29
"ARG","Argentina","marine",0.105788803573881,10.58
"ARM","Armenia","freshwater",0.000518496495999482,0.05
"ARM","Armenia","land",0.999481503504001,99.95
"ARM","Armenia","marine",0,0
"ASM","American Samoa","freshwater",0,0
"ASM","American Samoa","land",0.0590545395954526,5.91
"ASM","American Samoa","marine",0.940945460404547,94.09
"ATG","Antigua and Barbuda","freshwater",0.000887524466037509,0.09
"ATG","Antigua and Barbuda","land",0.473358278199369,47.34
"ATG","Antigua and Barbuda","marine",0.525754197334594,52.58
"AUS","Australia","freshwater",0.00236798842929553,0.24
"AUS","Australia","land",0.965903184027934,96.59
"AUS","Australia","marine",0.0317288275427701,3.17
"AUT","Austria","freshwater",0.00150854057629294,0.15
"AUT","Austria","land",0.998491459423707,99.85
"AUT","Austria","marine",0,0
"AZE","Azerbaijan","freshwater",0.00055476983652675,0.06
"AZE","Azerbaijan","land",0.999445230163473,99.94
"AZE","Azerbaijan","marine",0,0
"BDI","Burundi","freshwater",0.000405951603104213,0.04
"BDI","Burundi","land",0.999594048396896,99.96
"BDI","Burundi","marine",0,0
"BEL","Belgium","freshwater",0.000342604423064879,0.03
"BEL","Belgium","land",0.937379500786583,93.74
"BEL","Belgium","marine",0.0622778947903515,6.23
"BEN","Benin","freshwater",0.000656491716201468,0.07
"BEN","Benin","land",0.978220443370337,97.82
"BEN","Benin","marine",0.021123064913462,2.11
"BES","Bonaire, Sint Eustatius and Saba","freshwater",0.00123446001385196,0.12
"BES","Bonaire, Sint Eustatius and Saba","land",0.21766018677813,21.77
"BES","Bonaire, Sint Eustatius and Saba","marine",0.781105353208018,78.11
"BFA","Burkina Faso","freshwater",0.000287122801761485,0.03
"BFA","Burkina Faso","land",0.999712877198238,99.97
"BFA","Burkina Faso","marine",0,0
"BGD","Bangladesh","freshwater",0.00066995333976768,0.07
"BGD","Bangladesh","land",0.928920463092834,92.89
"BGD","Bangladesh","marine",0.0704095835673984,7.04
"BGR","Bulgaria","freshwater",0.00114736776487435,0.11
"BGR","Bulgaria","land",0.982947445727337,98.29
"BGR","Bulgaria","marine",0.015905186507789,1.59
"BHR","Bahrain","freshwater",4.72310871968853e-06,0
"BHR","Bahrain","land",0.0531487129958131,5.31
"BHR","Bahrain","marine",0.946846563895467,94.68
"BHS","Bahamas","freshwater",0.00416262310236884,0.42
"BHS","Bahamas","land",0.426413417301652,42.64
"BHS","Bahamas","marine",0.569423959595979,56.94
"BIH","Bosnia and Herzegovina","freshwater",0.00214749358348024,0.21
"BIH","Bosnia and Herzegovina","land",0.991223114813712,99.12
"BIH","Bosnia and Herzegovina","marine",0.00662939160280811,0.66
"BLM","Saint-Barthélemy","freshwater",0.00186988778791008,0.19
"BLM","Saint-Barthélemy","land",0,0
"BLM","Saint-Barthélemy","marine",0.99813011221209,99.81
"BLR","Belarus","freshwater",0.00120257342783951,0.12
"BLR","Belarus","land",0.998797426572161,99.88
"BLR","Belarus","marine",0,0
"BLZ","Belize","freshwater",0.00519046566175705,0.52
"BLZ","Belize","land",0.814765600635838,81.48
"BLZ","Belize","marine",0.180043933702405,18
"BMU","Bermuda","freshwater",0,0
"BMU","Bermuda","land",0.565175398047074,56.52
"BMU","Bermuda","marine",0.434824601952926,43.48
"BOL","Bolivia","freshwater",0.00316420661201472,0.32
"BOL","Bolivia","land",0.996835793387985,99.68
"BOL","Bolivia","marine",0,0
"BRA","Brazil","freshwater",0.00372614271756923,0.37
"BRA","Brazil","land",0.98266634620652,98.27
"BRA","Brazil","marine",0.0136075110759104,1.36
"BRB","Barbados","freshwater",0.000432895941824345,0.04
"BRB","Barbados","land",0.863031583522125,86.3
"BRB","Barbados","marine",0.136535520536051,13.65
"BRN","Brunei","freshwater",0.0013018391354418,0.13
"BRN","Brunei","land",0.140135988700699,14.01
"BRN","Brunei","marine",0.858562172163859,85.86
"BTN","Bhutan","freshwater",0.0060414288580194,0.6
"BTN","Bhutan","land",0.993958571141981,99.4
"BTN","Bhutan","marine",0,0
"BWA","Botswana","freshwater",0.00965865577481445,0.97
"BWA","Botswana","land",0.990341344225185,99.03
"BWA","Botswana","marine",0,0
"CAF","Central African Republic","freshwater",0.00726027405778739,0.73
