iso3c,organism,tonnes_product,million_kcals,tonnes_protein
AFG,bivalve,0,0,0
ALA,bivalve,0,0,0
ALB,bivalve,0,0,0
DZA,bivalve,0,0,0
ASM,bivalve,0,0,0
AND,bivalve,0,0,0
AGO,bivalve,0,0,0
AIA,bivalve,0,0,0
ATG,bivalve,0,0,0
ARG,bivalve,0,0,0
ARM,bivalve,0,0,0
ABW,bivalve,0,0,0
AUS,bivalve,16616.71,1664.47675662297,247.08139461093248
AUT,bivalve,0,0,0
AZE,bivalve,0,0,0
BHS,bivalve,0,0,0
BHR,bivalve,0,0,0
BGD,bivalve,0,0,0
BRB,bivalve,0,0,0
BLR,bivalve,0,0,0
BEL,bivalve,0,0,0
BLZ,bivalve,0,0,0
BEN,bivalve,0,0,0
BMU,bivalve,0,0,0
BTN,bivalve,0,0,0
BOL,bivalve,0,0,0
BES,bivalve,0,0,0
BIH,bivalve,0,0,0
BWA,bivalve,0,0,0
BRA,bivalve,20900,2093.528996619672,310.77157556270095
IOT,bivalve,0,0,0
VGB,bivalve,0,0,0
BRN,bivalve,0,0,0
BGR,bivalve,3291.58,329.71378826284115,48.943995344051444
BFA,bivalve,0,0,0
BDI,bivalve,0,0,0
KHM,bivalve,8300,831.4014675570947,123.41646302250804
CMR,bivalve,0,0,0
CAN,bivalve,39896.1155444722,3996.348073915856,593.2334299802484
CPV,bivalve,0,0,0
CYM,bivalve,0,0,0
CAF,bivalve,0,0,0
TCD,bivalve,0,0,0
CHL,bivalve,347147.98,34773.414461624205,5161.9007032540185
CHN,bivalve,14652843.2365789,1467758.4784067164,217879.76933516227
CXR,bivalve,0,0,0
CCK,bivalve,0,0,0
COL,bivalve,0,0,0
COM,bivalve,0,0,0
COK,bivalve,0,0,0
CRI,bivalve,0,0,0
CIV,bivalve,0,0,0
HRV,bivalve,919.76,92.13130286750763,13.676328437299034
CUB,bivalve,1089,109.08387929755132,16.1928347266881
CUW,bivalve,0,0,0
CYP,bivalve,0,0,0
CZE,bivalve,0,0,0
DNK,bivalve,2414,241.80760755214777,35.89486045016077
DJI,bivalve,0,0,0
DMA,bivalve,0,0,0
DOM,bivalve,0,0,0
ECU,bivalve,0,0,0
EGY,bivalve,0,0,0
SLV,bivalve,0,0,0
GNQ,bivalve,0,0,0
ERI,bivalve,0,0,0
EST,bivalve,0,0,0
ETH,bivalve,0,0,0
FLK,bivalve,0,0,0
FRO,bivalve,0,0,0
FJI,bivalve,0,0,0
FIN,bivalve,0,0,0
FRA,bivalve,137331.274030374,13756.315996426321,2042.0409762895868
GUF,bivalve,0,0,0
PYF,bivalve,1200,120.20262181548357,17.843344051446945
GAB,bivalve,0,0,0
GMB,bivalve,0,0,0
GEO,bivalve,0,0,0
DEU,bivalve,16856,1688.4461611014924,250.63950610932474
GHA,bivalve,0,0,0
GIB,bivalve,849.822091121495,85.12570285793372,12.636389962000775
GRC,bivalve,19155.8,1918.8144858108667,284.8362749839228
GRL,bivalve,0,0,0
GRD,bivalve,0,0,0
GLP,bivalve,0,0,0
GUM,bivalve,0,0,0
GTM,bivalve,0,0,0
GGY,bivalve,656.1,65.72078347761564,9.755848360128617
GIN,bivalve,0,0,0
GNB,bivalve,0,0,0
GUY,bivalve,0,0,0
HTI,bivalve,0,0,0
HND,bivalve,0,0,0
HKG,bivalve,0,0,0
HUN,bivalve,0,0,0
ISL,bivalve,0,0,0
IND,bivalve,11648,1166.7667824222938,173.199392926045
IDN,bivalve,62231,6233.6077984994645,925.34095305466235
IRN,bivalve,0,0,0
IRQ,bivalve,0,0,0
IRL,bivalve,25588.8025191676,2563.200959935497,380.4915060116998
IMN,bivalve,0,0,0
ISR,bivalve,0,0,0
ITA,bivalve,100200,10036.918921592878,1489.91922829582
JAM,bivalve,0,0,0
JPN,bivalve,308990,30951.173428971884,4594.512398713826
JEY,bivalve,656.1,65.72078347761564,9.755848360128617
JOR,bivalve,0,0,0
KAZ,bivalve,0,0,0
KEN,bivalve,0,0,0
KIR,bivalve,0,0,0
XKO,bivalve,0,0,0
KWT,bivalve,0,0,0
KGZ,bivalve,0,0,0
LAO,bivalve,0,0,0
LVA,bivalve,0,0,0
LBN,bivalve,0,0,0
LSO,bivalve,0,0,0
LBR,bivalve,0,0,0
LBY,bivalve,0,0,0
LIE,bivalve,0,0,0
LTU,bivalve,0,0,0
LUX,bivalve,0,0,0
MAC,bivalve,0,0,0
MKD,bivalve,0,0,0
MDG,bivalve,0,0,0
MWI,bivalve,0,0,0
MYS,bivalve,16110.88,1613.8083464621982,239.5599790096463
MDV,bivalve,0,0,0
MLI,bivalve,0,0,0
