common_name,family,paper_name,protein_mean,energy_mean
Albacore,Scombridae,Thunnus alalunga,24.2,134
"Anchovy, striped",Engraulidae,Anchoa hepsetus,17.4,NA
Barracouta,Gempylidae,Thyrsites atun,22,132
"Bream, Ig-eyed",Lethrinidae,Monotaxis grandoculis,18.4,90.5
Burbot,Lotidae,Lota lota,18,NA
Carp,Cyprinidae,Cirrhinus mrigala,18.9,86.7
Carp,Cyprinidae,Cyprinus carpio,18,NA
"Cisco, longjaw, trout",Salmonidae,Coregonus alpenae,15.5,NA
"Cod, Atlantic",Gadidae,Gadus morhua,17.9,NA
"Flounder, winter",Pleuronectidae,Pseudopleuronectes americanus,17.4,NA
"Goatfish, dwarf",Mullidae,Upeneus parvus,19.8,NA
Haddock,Gadidae,Melanogrammus aeglefinus,18.3,79
"Halibut, Atlantic",Pleuronectidae,Hippoglossus hippoglossus,17.7,126
"Halibut, Pacific",Pleuronectidae,Hippoglossus stenolepis,21.1,NA
"Herring, Atlantic",Clupeidae,Clupea harengus,18.2,NA
"Herring, fimbriata",Clupeidae,Sardinella fimbriata,20,102.3
Jack mackerel,Carangidae,Trachurus trachurus,19.7,NA
Leatherjacket,Carangidae,Scomberoides lysan,19.9,109
Lingcod,Hexagrammidae,Ophiodon elongatus,17.5,99
Lizardfish,Synodontidae,Saurida tumbil,19.3,NA
Lizardfish,Synodontidae,Saurida undosquamis,19.4,88
"Mackerel, Atlantic",Scombridae,Scomber scombrus,19.1,169
"Mullet, striped",Mugilidae,Mugil cephalus,19.4,143
"Ocean perch, Pacific",Sebastidae,Sebastes alutus,18.1,NA
"Perch, yellow",Percidae,Perca flavescens,19,NA
"Pollack, coalfish",Gadidae,Pollachius virens,18.6,NA
Sablefish,Anoplopomatidae,Anoplopoma fimbria,13.3,NA
"Salmon, chinook",Salmonidae,Oncorhynchus tshawytscha,16.2,NA
"Salmon, chum",Salmonidae,Oncorhynchus keta,20.7,NA
"Slmon, coho",Salmonidae,Oncorhynchus kisutch,21.5,NA
"Salmon, pink",Salmonidae,Oncorhynchus gorbuscha,19.4,NA
"Salmon, sockeye",Salmonidae,Oncorhynchus nerka,20.9,NA
"Sardine, gilt",Clupeidae,Sardinella aurita,20.5,NA
"Sardine, Indian",Clupeidae,Sardinella longiceps,19.3,103
Scup,Sparidae,Stenotomus chrysops,18.8,NA
Shad,Clupeidae,Alosa sapidissima,18.5,NA
Skipjack,Scombridae,Katsuwonus pelamis,25.5,NA
"Sole, Dover",Pleuronectidae,Microstomus pacificus,15,NA
Spot,Sciaenidae,Leiostomus xanthurus,17.9,NA
"Squawfish, northern",Cyprinidae,Ptychocheilus oregonensis,17,NA
Swordfish,Xiphiidae,Xiphias gladius,19.5,100
"Trout, brook",Salmonidae,Salvelinus fontinalis,17.5,NA
"Trout, Dolly Varden",Salmonidae,Salvelinus malma,19.9,NA
"Tuna, big eye",Scombridae,Thunnus obesus,22.5,98
"Tuna, bluefin",Scombridae,Thunnus thynnus,24.7,122
