iso3c,Species,feedlot_count,mixed_count,mixed_and_feedlot_total,prop
ARG,Cattle,1032445.0135604932,27243142.58664351,28275587.600204002,0.036513653691605134
AUS,Cattle,718010.9041238959,9654238.564979939,10372249.469103836,0.06922422240832704
BRA,Cattle,1014422.8007100136,141794258.05908358,142808680.8597936,0.007103369309222536
CAN,Cattle,862397.7516251357,1268175.032136807,2130572.7837619428,0.40477272506147566
CHN,Cattle,3683506.8972029034,62158582.86423801,65842089.76144091,0.055944562369587406
ESP,Cattle,121639.4061465185,2807785.575076285,2929424.9812228032,0.04152330471891574
IDN,Cattle,174270.13094831764,10178141.368719872,10352411.49966819,0.016833771624505386
JPN,Cattle,383390.05102674617,1256064.99018104,1639455.0412077862,0.2338521285367501
MEX,Cattle,717442.5574973525,13298240.357486237,14015682.91498359,0.051188555124229033
URY,Cattle,94641.09984611807,5373288.375449705,5467929.475295823,0.017308398046044265
USA,Cattle,11595354.177843815,28900133.802694965,40495487.98053878,0.2863369416221452
ZAF,Cattle,371892.5956398709,5692446.629464751,6064339.225104622,0.061324504094418475
