iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
ABW,cows,mixed,meat,120.48223876953125,34.01416666666667,42.93143378130323,40.61740792690617,0,51.00381842764893,40.096692720485784
AFG,cows,mixed,meat,948323.1677670004,35.38,314762.6300394887,313946.4616118485,0,253075.48143878486,262771.8027808564
AGO,cows,mixed,meat,1610282.9069237313,32.23,608613.3546393343,540121.4145531639,0,489337.3705642889,488145.49764752254
AIA,cows,mixed,meat,0,34.01416666666667,0,0,0,0,0
ALA,cows,mixed,meat,2831.5743560791016,62.891111111111115,0,0,4001.731268071231,0,1192.5159178852268
ALB,cows,mixed,meat,104349.90322971344,42.47,41823.28372065092,49566.5100515047,0,36770.78312297674,38191.851914749444
AND,cows,mixed,meat,572.1972007751465,46.75833333333333,152.4499184687015,182.1218061203735,0,635.6985017227707,289.14052744093
ARE,cows,mixed,meat,56836.93502901867,30.75,20495.322650569,18188.826415596675,0,16478.651377341914,16438.51453216526
ARG,cows,mixed,meat,35025065.13287728,46.78,17164521.367738657,16239345.040629923,0,20391961.183903124,16031156.622496968
ARM,cows,mixed,meat,217294.35663223267,44.56,113546.20375459381,100767.9764526635,0,91293.43015444728,91071.06788778797
ASM,cows,mixed,meat,87,46.58625,0,0,0,152.85614142857142,45.55113014571428
ATG,cows,mixed,meat,1388.9555778503418,34.01416666666667,494.9265138550322,468.2497260514551,0,587.987398144732,462.24676413926335
AUS,cows,mixed,meat,11980101.542137466,48.24,0,0,0,21795843.71081083,6495161.425821627
AUT,cows,mixed,meat,1189182.299441612,62.26,873173.6414555217,862567.5691023532,0,271351.6161441355,598113.662357199
AZE,cows,mixed,meat,793253.7880197167,46.84,435720.53713990975,386685.5550833857,0,350328.070062239,349474.7803610893
BDI,cows,mixed,meat,783495.4102945328,26.43,242835.74199830877,215507.56892266992,0,195244.81768708245,194769.2623252022
BEL,cows,mixed,meat,1505366.1992726326,60.96,647554.7070318006,837814.3374389271,2.2894334884647076e-10,1567801.976361148,909844.96420789906
BEN,cows,mixed,meat,1736369.7619569302,32.01,651788.7761766871,578437.973953185,0,524051.2773279897,522774.8521824428
BES,cows,mixed,meat,220,36.5,0,0,180.4455714285714,0,53.772780285714276
BFA,cows,mixed,meat,6033698.297157288,35.11,2484239.1924089896,2204668.6561577367,0,1997378.2451529566,1992513.2559284654
