iso3c,animal,system,product,leach_n_rate
ABW,buffaloes,grassland,meat,0.3026858829545455
AFG,buffaloes,grassland,meat,0.2345929714285715
AGO,buffaloes,grassland,meat,0.19544310000000004
AIA,buffaloes,grassland,meat,0.3026858829545455
ALA,buffaloes,grassland,meat,0.20939725736263737
ALB,buffaloes,grassland,meat,0.22738175
AND,buffaloes,grassland,meat,0.22738175
ARE,buffaloes,grassland,meat,0.27049992
ARG,buffaloes,grassland,meat,0.32198685
ARM,buffaloes,grassland,meat,0.26578653750000003
ASM,buffaloes,grassland,meat,0.08621900681408454
ATG,buffaloes,grassland,meat,0.3026858829545455
AUS,buffaloes,grassland,meat,0.08621900681408454
AUT,buffaloes,grassland,meat,0.20938288974358976
AZE,buffaloes,grassland,meat,0.28935345
BDI,buffaloes,grassland,meat,0.19544310000000004
BEL,buffaloes,grassland,meat,0.20938288974358976
BEN,buffaloes,grassland,meat,0.19544310000000004
BES,buffaloes,grassland,meat,0.3026858829545455
BFA,buffaloes,grassland,meat,0.19544310000000004
BGD,buffaloes,grassland,meat,0.19318020000000002
BGR,buffaloes,grassland,meat,0.180635
BHR,buffaloes,grassland,meat,0.27049992
BHS,buffaloes,grassland,meat,0.3026858829545455
BIH,buffaloes,grassland,meat,0.22738175
BLM,buffaloes,grassland,meat,0.3026858829545455
BLR,buffaloes,grassland,meat,0.180635
BLZ,buffaloes,grassland,meat,0.27732435000000005
BMU,buffaloes,grassland,meat,0.230657
BOL,buffaloes,grassland,meat,0.31717818750000004
BRA,buffaloes,grassland,meat,0.31412625
BRB,buffaloes,grassland,meat,0.3026858829545455
BRN,buffaloes,grassland,meat,0.1825406
BTN,buffaloes,grassland,meat,0.21996635714285717
BWA,buffaloes,grassland,meat,0.1954431
CAF,buffaloes,grassland,meat,0.19544310000000004
CAN,buffaloes,grassland,meat,0.23065699999999997
CCK,buffaloes,grassland,meat,0.08621900681408454
CHE,buffaloes,grassland,meat,0.20938288974358976
CHL,buffaloes,grassland,meat,0.31717818750000004
CHN,buffaloes,grassland,meat,0.18674880000000002
CIV,buffaloes,grassland,meat,0.19544310000000004
CMR,buffaloes,grassland,meat,0.19544310000000004
COD,buffaloes,grassland,meat,0.19544310000000004
COG,buffaloes,grassland,meat,0.19544310000000004
COK,buffaloes,grassland,meat,0.08621900681408454
COL,buffaloes,grassland,meat,0.31269705000000003
COM,buffaloes,grassland,meat,0.19544310000000004
CPV,buffaloes,grassland,meat,0.19544310000000004
CRI,buffaloes,grassland,meat,0.27732435
CUB,buffaloes,grassland,meat,0.3026858829545455
CUW,buffaloes,grassland,meat,0.3026858829545455
CXR,buffaloes,grassland,meat,0.08621900681408454
CYM,buffaloes,grassland,meat,0.3026858829545455
CYP,buffaloes,grassland,meat,0.27049992
CZE,buffaloes,grassland,meat,0.180635
DEU,buffaloes,grassland,meat,0.20938288974358976
DJI,buffaloes,grassland,meat,0.19544310000000004
DMA,buffaloes,grassland,meat,0.3026858829545455
DNK,buffaloes,grassland,meat,0.20939725736263737
DOM,buffaloes,grassland,meat,0.3026858829545455
DZA,buffaloes,grassland,meat,0.19544310000000004
ECU,buffaloes,grassland,meat,0.31717818750000004
EGY,buffaloes,grassland,meat,0.19544310000000004
ERI,buffaloes,grassland,meat,0.19544310000000004
ESH,buffaloes,grassland,meat,0.19544310000000004
ESP,buffaloes,grassland,meat,0.22738175
EST,buffaloes,grassland,meat,0.20939725736263737
ETH,buffaloes,grassland,meat,0.19544310000000004
FIN,buffaloes,grassland,meat,0.20939725736263737
FJI,buffaloes,grassland,meat,0.08621900681408454
FLK,buffaloes,grassland,meat,0.31717818750000004
FRA,buffaloes,grassland,meat,0.20938288974358976
FRO,buffaloes,grassland,meat,0.20939725736263737
FSM,buffaloes,grassland,meat,0.08621900681408454
GAB,buffaloes,grassland,meat,0.19544310000000004
GBR,buffaloes,grassland,meat,0.20939725736263737
GEO,buffaloes,grassland,meat,0.27049992
GGY,buffaloes,grassland,meat,0.20939725736263737
GHA,buffaloes,grassland,meat,0.19544310000000004
GIB,buffaloes,grassland,meat,0.22738175
GIN,buffaloes,grassland,meat,0.19544310000000004
GLP,buffaloes,grassland,meat,0.3026858829545455
GMB,buffaloes,grassland,meat,0.19544310000000004
GNB,buffaloes,grassland,meat,0.19544310000000004
GNQ,buffaloes,grassland,meat,0.19544310000000004
GRC,buffaloes,grassland,meat,0.22738175
GRD,buffaloes,grassland,meat,0.3026858829545455
GRL,buffaloes,grassland,meat,0.230657
GTM,buffaloes,grassland,meat,0.27732435
GUF,buffaloes,grassland,meat,0.31717818750000004
GUM,buffaloes,grassland,meat,0.08621900681408454
GUY,buffaloes,grassland,meat,0.31717818750000004
HKG,buffaloes,grassland,meat,0.20229135
HND,buffaloes,grassland,meat,0.27732435000000005
HRV,buffaloes,grassland,meat,0.22738175
HTI,buffaloes,grassland,meat,0.3026858829545455
HUN,buffaloes,grassland,meat,0.180635
IDN,buffaloes,grassland,meat,0.18913080000000002
IMN,buffaloes,grassland,meat,0.20939725736263737
IND,buffaloes,grassland,meat,0.21996635714285717
IOT,buffaloes,grassland,meat,0.19544310000000004
IRL,buffaloes,grassland,meat,0.20939725736263737
IRN,buffaloes,grassland,meat,0.21996635714285717
IRQ,buffaloes,grassland,meat,0.26578653750000003
ISL,buffaloes,grassland,meat,0.20939725736263737
ISR,buffaloes,grassland,meat,0.27049992
ITA,buffaloes,grassland,meat,0.2334757
JAM,buffaloes,grassland,meat,0.3026858829545455
JEY,buffaloes,grassland,meat,0.20939725736263737
JOR,buffaloes,grassland,meat,0.26578653750000003
JPN,buffaloes,grassland,meat,0.19452007500000001
KAZ,buffaloes,grassland,meat,0.20896095000000003
KEN,buffaloes,grassland,meat,0.19544310000000004
KGZ,buffaloes,grassland,meat,0.20896095000000003
KHM,buffaloes,grassland,meat,0.1872252
KIR,buffaloes,grassland,meat,0.08621900681408454
KNA,buffaloes,grassland,meat,0.3026858829545455
KOR,buffaloes,grassland,meat,0.19452007500000001
KWT,buffaloes,grassland,meat,0.27049992
LAO,buffaloes,grassland,meat,0.18746340000000006
LBN,buffaloes,grassland,meat,0.27049992
LBR,buffaloes,grassland,meat,0.19544310000000004
LBY,buffaloes,grassland,meat,0.19544310000000004
LCA,buffaloes,grassland,meat,0.3026858829545455
LIE,buffaloes,grassland,meat,0.20938288974358976
LKA,buffaloes,grassland,meat,0.21996635714285717
LSO,buffaloes,grassland,meat,0.1954431
LTU,buffaloes,grassland,meat,0.20939725736263737
LUX,buffaloes,grassland,meat,0.20938288974358976
LVA,buffaloes,grassland,meat,0.20939725736263737
MAC,buffaloes,grassland,meat,0.19452007500000001
MAF,buffaloes,grassland,meat,0.3026858829545455
MAR,buffaloes,grassland,meat,0.19544310000000004
MCO,buffaloes,grassland,meat,0.20938288974358976
MDA,buffaloes,grassland,meat,0.180635
MDG,buffaloes,grassland,meat,0.19544310000000004
MDV,buffaloes,grassland,meat,0.21996635714285717
MEX,buffaloes,grassland,meat,0.27732435000000005
