iso3c,animal,system,product,leach_n_rate
ABW,goats,mixed,meat,0.017472962499999998
AFG,goats,mixed,meat,0.02352225
AGO,goats,mixed,meat,0.016971750000000004
AIA,goats,mixed,meat,0.01666611838235294
ALA,goats,mixed,meat,0.022143134858333337
ALB,goats,mixed,meat,0.02073928
AND,goats,mixed,meat,0.021080699999999997
ARE,goats,mixed,meat,0.02173575
ARG,goats,mixed,meat,0.025189650000000008
ARM,goats,mixed,meat,0.019957757142857142
ASM,goats,mixed,meat,0.010067258333333332
ATG,goats,mixed,meat,0.0174729625
AUS,goats,mixed,meat,0.0105999
AUT,goats,mixed,meat,0.02026685
AZE,goats,mixed,meat,0.0182223
BDI,goats,mixed,meat,0.012565050000000001
BEL,goats,mixed,meat,0.02026685
BEN,goats,mixed,meat,0.0258447
BES,goats,mixed,meat,0.01666611838235294
BFA,goats,mixed,meat,0.015244800000000001
BGD,goats,mixed,meat,0.0176268
BGR,goats,mixed,meat,0.020693625
BHR,goats,mixed,meat,0.016674
BHS,goats,mixed,meat,0.01666611838235294
BIH,goats,mixed,meat,0.0187384
BLM,goats,mixed,meat,0.01666611838235294
BLR,goats,mixed,meat,0.0286237
BLZ,goats,mixed,meat,0.019353750000000003
BMU,goats,mixed,meat,0.0227084
BOL,goats,mixed,meat,0.021973950000000006
BRA,goats,mixed,meat,0.020870401048951052
BRB,goats,mixed,meat,0.017472962500000005
BRN,goats,mixed,meat,0.0108381
BTN,goats,mixed,meat,0.017984100000000003
BWA,goats,mixed,meat,0.02137845
CAF,goats,mixed,meat,0.016078500000000003
CAN,goats,mixed,meat,0.020763100000000003
CCK,goats,mixed,meat,0.011274800000000001
CHE,goats,mixed,meat,0.02026685
CHL,goats,mixed,meat,0.020870401048951052
CHN,goats,mixed,meat,0.01494705
CIV,goats,mixed,meat,0.015006600000000002
CMR,goats,mixed,meat,0.015304350000000001
COD,goats,mixed,meat,0.016138049999999998
COG,goats,mixed,meat,0.01613805
COK,goats,mixed,meat,0.010067258333333332
COL,goats,mixed,meat,0.020068350000000002
COM,goats,mixed,meat,0.00720555
CPV,goats,mixed,meat,0.015284500000000001
CRI,goats,mixed,meat,0.0173886
CUB,goats,mixed,meat,0.0171504
CUW,goats,mixed,meat,0.01666611838235294
CXR,goats,mixed,meat,0.011274800000000001
