iso3c,animal,system,product,leach_n_spread_rate
ABW,cows,mixed,milk,0.0043755823999999995
AFG,cows,mixed,milk,0.004075776
AGO,cows,mixed,milk,0.004641119999999999
AIA,cows,mixed,milk,0.0043755823999999995
ALA,cows,mixed,milk,0.007943644136396462
ALB,cows,mixed,milk,0.0071655384
AND,cows,mixed,milk,0.0102821575
ARE,cows,mixed,milk,0.004428
ARG,cows,mixed,milk,0.0060177792
ARM,cows,mixed,milk,0.0064166399999999995
ASM,cows,mixed,milk,5.999259e-4
ATG,cows,mixed,milk,0.0043755823999999995
AUS,cows,mixed,milk,7.872768000000001e-4
AUT,cows,mixed,milk,0.010731444899999998
AZE,cows,mixed,milk,0.00674496
BDI,cows,mixed,milk,0.0038059199999999995
BEL,cows,mixed,milk,0.006422745599999999
BEN,cows,mixed,milk,0.004609439999999999
BES,cows,mixed,milk,0.004361679026086957
BFA,cows,mixed,milk,0.00505584
BGD,cows,mixed,milk,0.0036829439999999996
BGR,cows,mixed,milk,0.008120926800000003
BHR,cows,mixed,milk,0.004937759999999999
BHS,cows,mixed,milk,0.0049706496
BIH,cows,mixed,milk,0.006941862300000001
BLM,cows,mixed,milk,0.004361679026086957
BLR,cows,mixed,milk,0.0069953939999999985
BLZ,cows,mixed,milk,0.004495968
BMU,cows,mixed,milk,0.009506478845999998
BOL,cows,mixed,milk,0.005968896
BRA,cows,mixed,milk,0.0055958399999999995
BRB,cows,mixed,milk,0.0043755823999999995
BRN,cows,mixed,milk,0.003968639999999999
BTN,cows,mixed,milk,0.003863808
BWA,cows,mixed,milk,0.0038390399999999997
CAF,cows,mixed,milk,0.0050111999999999995
CAN,cows,mixed,milk,0.008055246
CCK,cows,mixed,milk,5.999259e-4
CHE,cows,mixed,milk,0.009323223600000001
CHL,cows,mixed,milk,0.0059122944
CHN,cows,mixed,milk,0.0057528
CIV,cows,mixed,milk,0.004831199999999999
CMR,cows,mixed,milk,0.004404959999999999
COD,cows,mixed,milk,0.00378144
COG,cows,mixed,milk,0.00417744
COK,cows,mixed,milk,5.999259e-4
COL,cows,mixed,milk,0.0056936064000000005
COM,cows,mixed,milk,0.0037367999999999998
CPV,cows,mixed,milk,0.00442197
CRI,cows,mixed,milk,0.0057334848
CUB,cows,mixed,milk,0.0035543232
CUW,cows,mixed,milk,0.004361679026086957
CXR,cows,mixed,milk,5.999259e-4
CYM,cows,mixed,milk,0.0043755823999999995
CYP,cows,mixed,milk,0.005427359999999999
CZE,cows,mixed,milk,0.010697522400000001
DEU,cows,mixed,milk,0.010149775199999999
DJI,cows,mixed,milk,0.00402048
DMA,cows,mixed,milk,0.0051378816
DNK,cows,mixed,milk,0.0100693698
DOM,cows,mixed,milk,0.0042232512
DZA,cows,mixed,milk,0.003312
ECU,cows,mixed,milk,0.0055495296
EGY,cows,mixed,milk,0.0035207999999999997
ERI,cows,mixed,milk,0.00406512
ESH,cows,mixed,milk,0.0024537599999999997
ESP,cows,mixed,milk,0.010469438999999999
EST,cows,mixed,milk,0.012034041600000003
ETH,cows,mixed,milk,0.004485599999999999
FIN,cows,mixed,milk,0.008822923199999999
FJI,cows,mixed,milk,5.999259e-4
FLK,cows,mixed,milk,0.005543196553846154
FRA,cows,mixed,milk,0.006042387959999999
FRO,cows,mixed,milk,0.0072292074400000005
FSM,cows,mixed,milk,5.999259e-4
GAB,cows,mixed,milk,0.0046511999999999986
GBR,cows,mixed,milk,0.0070807968
GEO,cows,mixed,milk,0.006065279999999999
GGY,cows,mixed,milk,0.0072292074400000005
GHA,cows,mixed,milk,0.00469008
GIB,cows,mixed,milk,0.008151368652142858
GIN,cows,mixed,milk,0.00466416
GLP,cows,mixed,milk,0.0043004352
GMB,cows,mixed,milk,0.0044668799999999995
GNB,cows,mixed,milk,0.004219199999999999
GNQ,cows,mixed,milk,0.0035035199999999996
GRC,cows,mixed,milk,0.009171318
GRD,cows,mixed,milk,0.0043755823999999995
GRL,cows,mixed,milk,0.009506478845999998
GTM,cows,mixed,milk,0.0045448512
GUF,cows,mixed,milk,0.004571865600000001
GUM,cows,mixed,milk,5.999259e-4
GUY,cows,mixed,milk,0.0054324672
HKG,cows,mixed,milk,0.0036892799999999996
HND,cows,mixed,milk,0.005213779200000001
HRV,cows,mixed,milk,0.007331781240000001
HTI,cows,mixed,milk,0.0042476928
HUN,cows,mixed,milk,0.010833614245799999
IDN,cows,mixed,milk,0.00441216
IMN,cows,mixed,milk,0.0072292074400000005
IND,cows,mixed,milk,0.007941888
IOT,cows,mixed,milk,0.004405859999999999
IRL,cows,mixed,milk,0.004474604245946917
IRN,cows,mixed,milk,0.0039191040000000005
IRQ,cows,mixed,milk,0.0044467199999999995
ISL,cows,mixed,milk,0.007418635466666668
ISR,cows,mixed,milk,0.010634399999999999
ITA,cows,mixed,milk,0.009358329120000002
JAM,cows,mixed,milk,0.004135776
JEY,cows,mixed,milk,0.0072292074400000005
JOR,cows,mixed,milk,0.005399999999999999
JPN,cows,mixed,milk,0.00800064
KAZ,cows,mixed,milk,0.0070674816
KEN,cows,mixed,milk,0.005109119999999999
KGZ,cows,mixed,milk,0.006886099200000001
KHM,cows,mixed,milk,0.0042926399999999995
KIR,cows,mixed,milk,5.999259e-4
KNA,cows,mixed,milk,0.0043755823999999995
KOR,cows,mixed,milk,0.006675839999999999
KWT,cows,mixed,milk,0.00497088
LAO,cows,mixed,milk,0.004913279999999999
LBN,cows,mixed,milk,0.005255999999999999
LBR,cows,mixed,milk,0.00433872
LBY,cows,mixed,milk,0.00401184
LCA,cows,mixed,milk,0.0045191232
LIE,cows,mixed,milk,0.008627658180000001
LKA,cows,mixed,milk,0.003278592
LSO,cows,mixed,milk,0.0034487999999999997
LTU,cows,mixed,milk,0.0071057736
LUX,cows,mixed,milk,0.00584758896
LVA,cows,mixed,milk,0.007068576240000001
MAC,cows,mixed,milk,0.005463600000000001
MAF,cows,mixed,milk,0.004361679026086957
MAR,cows,mixed,milk,0.0034243200000000002
MCO,cows,mixed,milk,0.009139589917500001
MDA,cows,mixed,milk,0.007594617600000002
MDG,cows,mixed,milk,0.004913279999999999
MDV,cows,mixed,milk,0.003783888
MEX,cows,mixed,milk,0.0053861568
MHL,cows,mixed,milk,5.999259e-4
MKD,cows,mixed,milk,0.00703485552
MLI,cows,mixed,milk,0.00475776
MLT,cows,mixed,milk,0.009160266
MMR,cows,mixed,milk,0.00427536
MNE,cows,mixed,milk,0.006977754420000001
MNG,cows,mixed,milk,0.00441792
MNP,cows,mixed,milk,5.999259e-4
MOZ,cows,mixed,milk,0.00527472
MRT,cows,mixed,milk,0.00460368
