iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
ABW,sheep,grassland,meat,0,0,0.08368450982885009,0.08368450982885009
AFG,sheep,grassland,meat,0,0,307.4704412771607,307.4704412771607
AGO,sheep,grassland,meat,0,0,681.4374232503228,681.4374232503228
AIA,sheep,grassland,meat,0,0,0,0
ALA,sheep,grassland,meat,0,0,0.02216917491808193,0.02216917491808193
ALB,sheep,grassland,meat,0,0,0,0
AND,sheep,grassland,meat,0,0,0.45198115889879087,0.45198115889879087
ARE,sheep,grassland,meat,0,0,27.938011485457285,27.938011485457285
ARG,sheep,grassland,meat,0,0,8183.07601785462,8183.07601785462
ARM,sheep,grassland,meat,0,0,0,0
ASM,sheep,grassland,meat,0,0,0,0
ATG,sheep,grassland,meat,0,0,1.0583439762772042,1.0583439762772042
AUS,sheep,grassland,meat,0,0,44309.62568364534,44309.62568364534
AUT,sheep,grassland,meat,0,0,80.73096924528392,80.73096924528392
AZE,sheep,grassland,meat,0,0,2685.273341761394,2685.273341761394
BDI,sheep,grassland,meat,0,0,47.79264148955498,47.79264148955498
BEL,sheep,grassland,meat,0,0,26.174695293899887,26.174695293899887
BEN,sheep,grassland,meat,0,0,93.52243068424437,93.52243068424437
BES,sheep,grassland,meat,0,0,0,0
BFA,sheep,grassland,meat,0,0,1256.7155334976856,1256.7155334976856
BGD,sheep,grassland,meat,0,0,38.77443894654018,38.77443894654018
BGR,sheep,grassland,meat,0,0,0,0
BHR,sheep,grassland,meat,0,0,0,0
BHS,sheep,grassland,meat,0,0,0.011003070468178751,0.011003070468178751
BIH,sheep,grassland,meat,0,0,102.60039094288342,102.60039094288342
BLM,sheep,grassland,meat,0,0,0,0
BLR,sheep,grassland,meat,0,0,16.349303177503582,16.349303177503582
BLZ,sheep,grassland,meat,0,0,0.7453795515239392,0.7453795515239392
BMU,sheep,grassland,meat,0,0,0,0
BOL,sheep,grassland,meat,0,0,5171.200689671033,5171.200689671033
BRA,sheep,grassland,meat,0,0,11022.360783012668,11022.360783012668
BRB,sheep,grassland,meat,0,0,0.6043491878272623,0.6043491878272623
BRN,sheep,grassland,meat,0,0,0.025043918399487684,0.025043918399487684
BTN,sheep,grassland,meat,0,0,1.866801049714979,1.866801049714979
BWA,sheep,grassland,meat,0,0,109.69233937699506,109.69233937699506
CAF,sheep,grassland,meat,0,0,43.165624316081676,43.165624316081676
CAN,sheep,grassland,meat,0,0,39.37972492716658,39.37972492716658
CCK,sheep,grassland,meat,0,0,0,0
CHE,sheep,grassland,meat,0,0,137.7893579157273,137.7893579157273
CHL,sheep,grassland,meat,0,0,892.1895283726461,892.1895283726461
CHN,sheep,grassland,meat,0,0,64522.41766649734,64522.41766649734
CIV,sheep,grassland,meat,0,0,673.2123008378979,673.2123008378979
CMR,sheep,grassland,meat,0,0,121.66193837415774,121.66193837415774
COD,sheep,grassland,meat,0,0,117.00066003693668,117.00066003693668
COG,sheep,grassland,meat,0,0,50.769337150586296,50.769337150586296
COK,sheep,grassland,meat,0,0,0,0
COL,sheep,grassland,meat,0,0,922.4415047075588,922.4415047075588
COM,sheep,grassland,meat,0,0,0.18476486806178252,0.18476486806178252
CPV,sheep,grassland,meat,0,0,0.47790201465635096,0.47790201465635096
CRI,sheep,grassland,meat,0,0,0.5597215115240557,0.5597215115240557
CUB,sheep,grassland,meat,0,0,460.227092044111,460.227092044111
CUW,sheep,grassland,meat,0,0,0,0
CXR,sheep,grassland,meat,0,0,0.023839654811899563,0.023839654811899563
CYM,sheep,grassland,meat,0,0,0,0
CYP,sheep,grassland,meat,0,0,0,0
CZE,sheep,grassland,meat,0,0,32.324020702766546,32.324020702766546
DEU,sheep,grassland,meat,0,0,343.19083339706793,343.19083339706793
DJI,sheep,grassland,meat,0,0,196.8827281705097,196.8827281705097
DMA,sheep,grassland,meat,0,0,0.3062604357119414,0.3062604357119414
DNK,sheep,grassland,meat,0,0,8.410735672044892,8.410735672044892
DOM,sheep,grassland,meat,0,0,84.82752159975954,84.82752159975954
DZA,sheep,grassland,meat,0,0,0,0
ECU,sheep,grassland,meat,0,0,24.496721170986213,24.496721170986213
EGY,sheep,grassland,meat,0,0,0,0
ERI,sheep,grassland,meat,0,0,630.8821202204472,630.8821202204472
ESH,sheep,grassland,meat,0,0,0.31839136282210184,0.31839136282210184
ESP,sheep,grassland,meat,0,0,2347.556196206182,2347.556196206182
EST,sheep,grassland,meat,0,0,8.891276570345223,8.891276570345223
ETH,sheep,grassland,meat,0,0,3573.5778542997505,3573.5778542997505
FIN,sheep,grassland,meat,0,0,0.1639659440564151,0.1639659440564151
FJI,sheep,grassland,meat,0,0,1.639161556753516,1.639161556753516
FLK,sheep,grassland,meat,0,0,0,0
FRA,sheep,grassland,meat,0,0,868.164764080745,868.164764080745
FRO,sheep,grassland,meat,0,0,61.044326476751586,61.044326476751586
FSM,sheep,grassland,meat,0,0,0,0
GAB,sheep,grassland,meat,0,0,50.089698165982234,50.089698165982234
GBR,sheep,grassland,meat,0,0,24410.120330560563,24410.120330560563
GEO,sheep,grassland,meat,0,0,387.7589742350169,387.7589742350169
GGY,sheep,grassland,meat,0,0,0,0
GHA,sheep,grassland,meat,0,0,1411.3681075158497,1411.3681075158497
GIB,sheep,grassland,meat,0,0,0,0
GIN,sheep,grassland,meat,0,0,431.58789081983514,431.58789081983514
GLP,sheep,grassland,meat,0,0,0.15587414590630777,0.15587414590630777
GMB,sheep,grassland,meat,0,0,8.377342072387892,8.377342072387892
GNB,sheep,grassland,meat,0,0,0,0
GNQ,sheep,grassland,meat,0,0,2.0169760060158843,2.0169760060158843
GRC,sheep,grassland,meat,0,0,0,0
GRD,sheep,grassland,meat,0,0,0.4026212506424715,0.4026212506424715
GRL,sheep,grassland,meat,0,0,0,0
GTM,sheep,grassland,meat,0,0,144.23486113775837,144.23486113775837
GUF,sheep,grassland,meat,0,0,0.006203113590254704,0.006203113590254704
GUM,sheep,grassland,meat,0,0,0,0
GUY,sheep,grassland,meat,0,0,56.65697676404896,56.65697676404896
HKG,sheep,grassland,meat,0,0,1.450398518056864e-4,1.450398518056864e-4
HND,sheep,grassland,meat,0,0,3.921775482259303,3.921775482259303
HRV,sheep,grassland,meat,0,0,50.27237073184854,50.27237073184854
HTI,sheep,grassland,meat,0,0,24.792899328304607,24.792899328304607
HUN,sheep,grassland,meat,0,0,60.83108900206356,60.83108900206356
IDN,sheep,grassland,meat,0,0,656.2861907650215,656.2861907650215
IMN,sheep,grassland,meat,0,0,8.152845623090194,8.152845623090194
IND,sheep,grassland,meat,0,0,3304.9757173574612,3304.9757173574612
IOT,sheep,grassland,meat,0,0,0,0
IRL,sheep,grassland,meat,0,0,3785.658559335693,3785.658559335693
IRN,sheep,grassland,meat,0,0,4573.882699497001,4573.882699497001
IRQ,sheep,grassland,meat,0,0,171.40113504525266,171.40113504525266
