iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
ABW,sheep,mixed,milk,0,0,0,0
AFG,sheep,mixed,milk,1056.6228616885671,4364.890411005667,5323.037086592278,10744.550359286512
AGO,sheep,mixed,milk,0,0,0,0
AIA,sheep,mixed,milk,0,0,0,0
ALA,sheep,mixed,milk,0.6638426193766435,4.244393210848449,10.185567786156543,15.093803616381635
ALB,sheep,mixed,milk,80.19507479094476,509.04682235058124,1558.3065990323912,2147.548496173917
AND,sheep,mixed,milk,0.132953905846648,0.8439391504623501,2.583487195292908,3.5603802516019063
ARE,sheep,mixed,milk,98.07981017204371,316.2270957688059,494.1048371387592,908.4117430796088
ARG,sheep,mixed,milk,0,0,0,0
ARM,sheep,mixed,milk,55.48445615794304,178.89194932535796,279.51867082087176,513.8950763041728
ASM,sheep,mixed,milk,0,0,0,0
ATG,sheep,mixed,milk,0,0,0,0
AUS,sheep,mixed,milk,0,0,0,0
AUT,sheep,mixed,milk,8.790312174069,55.79744755328432,39.01182085169161,103.59958057904493
AZE,sheep,mixed,milk,57.22704251548447,184.51036377788446,288.2974434029444,530.0348496963134
BDI,sheep,mixed,milk,8.389306988623872,34.65607924771574,42.26351127770212,85.30889751404173
BEL,sheep,mixed,milk,0,0,0,0
BEN,sheep,mixed,milk,0,0,0,0
BES,sheep,mixed,milk,0,0,0,0
BFA,sheep,mixed,milk,196.75479454771107,812.790587048479,991.20803298595,2000.75341458214
BGD,sheep,mixed,milk,68.49707213659445,282.9601972393323,345.07341126747843,696.5306806434052
BGR,sheep,mixed,milk,98.40275254586037,624.6220060845544,743.5976262911362,1466.622384921551
BHR,sheep,mixed,milk,0.009907350149097584,0.0319430936797101,0.04991108387454703,0.09176152770335472
BHS,sheep,mixed,milk,0,0,0,0
BIH,sheep,mixed,milk,28.067650992460802,178.16241939798795,545.395161422412,751.6252318128608
BLM,sheep,mixed,milk,0,0,0,0
BLR,sheep,mixed,milk,0,0,0,0
BLZ,sheep,mixed,milk,0,0,0,0
BMU,sheep,mixed,milk,0,0,0,0
BOL,sheep,mixed,milk,101.75491890471932,420.34777582805964,512.6192388147069,1034.7219335474858
BRA,sheep,mixed,milk,0,0,0,0
BRB,sheep,mixed,milk,0,0,0,0
BRN,sheep,mixed,milk,0,0,0,0
BTN,sheep,mixed,milk,0,0,0,0
BWA,sheep,mixed,milk,0,0,0,0
CAF,sheep,mixed,milk,0,0,0,0
CAN,sheep,mixed,milk,0,0,0,0
CCK,sheep,mixed,milk,0,0,0,0
CHE,sheep,mixed,milk,5.437773340840506,34.51684841037299,10.272871550706245,50.227493301919736
CHL,sheep,mixed,milk,0,0,0,0
CHN,sheep,mixed,milk,3250.1495149590337,13426.310338873589,16373.549193748282,33050.009047580905
CIV,sheep,mixed,milk,0,0,0,0
CMR,sheep,mixed,milk,190.7836447103375,788.1238723550465,961.1266736037154,1940.0341906690994
COD,sheep,mixed,milk,0,0,0,0
COG,sheep,mixed,milk,0,0,0,0
COK,sheep,mixed,milk,0,0,0,0
COL,sheep,mixed,milk,0,0,0,0
COM,sheep,mixed,milk,0,0,0,0
CPV,sheep,mixed,milk,0,0,0,0
CRI,sheep,mixed,milk,0,0,0,0
CUB,sheep,mixed,milk,0,0,0,0
CUW,sheep,mixed,milk,0,0,0,0
CXR,sheep,mixed,milk,0,0,0,0
CYM,sheep,mixed,milk,0,0,0,0
CYP,sheep,mixed,milk,38.39911355279063,123.8057061651688,193.44641588307624,355.6512356010357
CZE,sheep,mixed,milk,2.121448619539879,13.466122219749357,16.031097880653995,31.618668719943233
DEU,sheep,mixed,milk,0,0,0,0
DJI,sheep,mixed,milk,0,0,0,0
DMA,sheep,mixed,milk,0,0,0,0
DNK,sheep,mixed,milk,0,0,0,0
DOM,sheep,mixed,milk,0,0,0,0
DZA,sheep,mixed,milk,1205.0600497288335,3885.332150259212,6070.8314847800175,11161.223684768063
ECU,sheep,mixed,milk,14.708406502662662,60.7601679203193,74.09776575648695,149.5663401794689
EGY,sheep,mixed,milk,275.95691452616404,889.73514003398,1390.2111563030937,2555.9032108632377
ERI,sheep,mixed,milk,48.26849647393504,199.3963078520238,243.16622908783395,490.8310334137928
ESH,sheep,mixed,milk,0,0,0,0
ESP,sheep,mixed,milk,187.59565749577274,1190.7835186129655,6921.220731433903,8299.59990754264
EST,sheep,mixed,milk,0,0,0,0
ETH,sheep,mixed,milk,525.036917999919,2168.9182506797656,2645.022256926544,5338.977425606228
FIN,sheep,mixed,milk,0,0,0,0
