iso3c,head_count,water_consumption,full_name,gleam_prod_system,gleam_product,gleam_livestock
ABW,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
AIA,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ASM,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BES,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BLM,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CCK,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CYM,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GGY,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GIB,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
IOT,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
JEY,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MAC,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MAF,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MCO,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MDV,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MHL,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MLT,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MSR,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NFK,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PCN,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SGP,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SJM,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SXM,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TCA,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TUV,54000,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
VGB,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
VIR,0,0,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
LUX,6.028464394347565e-7,4.639738653022752e-8,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ALA,2.1071306537926596e-6,1.6229576083947293e-7,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NOR,6.217464321167654e-6,4.791370696300148e-7,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ISL,1.3550497390824036e-5,1.0497373423266009e-6,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SWE,2.0044253756790198e-4,1.544258578893282e-5,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
DNK,3.005562475566492e-4,2.3136547304833896e-5,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
EST,2.1894381342058007,0.16874234745247327,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NLD,40.215367024423195,3.10563321253244,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
FLK,54.89336783277522,4.256798887615172,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
IRL,58.520311951248516,4.4953905958671925,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GRL,59.11914960776894,4.584494269940713,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
FIN,59.77650331430185,4.608564310925031,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CZE,85.93345087879811,6.633863815484599,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BEL,173.01504985510087,13.335564239817911,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MNP,484.93976198545926,52.20325489684979,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SHN,3161.57428864475,58.65337018166442,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CUW,2442.130339062813,270.9823603630494,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PLW,3607.4061774772545,394.687791677385,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
KNA,4141.9623325483235,409.0292818746409,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NRU,5000,555.9208169829993,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TKL,5000,575.9584665873941,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ATG,5638.909551493096,597.9060909183515,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GUM,5565.917636565707,608.6285898880367,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
