"country","iso3c","year","fao_tonnes_production"
"Albania","ALB",2012,1600
"Albania","ALB",2013,2200
"Albania","ALB",2014,2300
"Albania","ALB",2015,2500
"Albania","ALB",2016,2700
"Albania","ALB",2017,3400
"Albania","ALB",2018,3300
"Algeria","DZA",2014,650.82
"Algeria","DZA",2018,1756.02
"Australia","AUS",2010,8540.56
"Australia","AUS",2011,7897.78
"Australia","AUS",2012,5927.4
"Australia","AUS",2013,4398.55
"Australia","AUS",2014,3959.83
"Australia","AUS",2015,4807.69
"Australia","AUS",2016,5070.7
"Australia","AUS",2017,6364.27
"Australia","AUS",2018,7890.03
"Bangladesh","BGD",2010,73825
"Bangladesh","BGD",2011,60290
"Bangladesh","BGD",2012,63220
"Bangladesh","BGD",2013,71720
"Bangladesh","BGD",2014,93657
"Bangladesh","BGD",2015,96632
"Bangladesh","BGD",2016,113239
"Bangladesh","BGD",2017,116110
"Bangladesh","BGD",2018,131817
"Cambodia","KHM",2016,800
"Cambodia","KHM",2017,850
"Cambodia","KHM",2018,950
"Canada","CAN",2018,569
"China","CHN",2010,784292
"China","CHN",2011,919043
"China","CHN",2012,985465
"China","CHN",2013,1075376
"China","CHN",2014,1136986
"China","CHN",2015,1252490
"China","CHN",2016,1308887
"China","CHN",2017,1419359
"China","CHN",2018,1495038
"China, Hong Kong SAR","HKG",2010,1286
"China, Hong Kong SAR","HKG",2012,623
"China, Hong Kong SAR","HKG",2014,682
"China, Hong Kong SAR","HKG",2015,833
"China, Hong Kong SAR","HKG",2016,691
"China, Hong Kong SAR","HKG",2017,750
"China, Hong Kong SAR","HKG",2018,650
"Costa Rica","CRI",2015,700
"Costa Rica","CRI",2016,700
"Costa Rica","CRI",2017,700
"Costa Rica","CRI",2018,700
"Croatia","HRV",2010,5200
"Croatia","HRV",2011,4494
"Croatia","HRV",2012,4626
"Croatia","HRV",2013,5804
"Croatia","HRV",2014,6869.29
"Croatia","HRV",2015,8563.18
"Croatia","HRV",2016,9410.98
"Croatia","HRV",2017,10445.41
"Croatia","HRV",2018,12618.89
"Cyprus","CYP",2010,4005
"Cyprus","CYP",2011,4551
"Cyprus","CYP",2012,4226
"Cyprus","CYP",2013,5217
"Cyprus","CYP",2014,4736
"Cyprus","CYP",2015,5382
"Cyprus","CYP",2016,6556
"Cyprus","CYP",2017,7203
"Cyprus","CYP",2018,7274
"Denmark","DNK",2010,1000
"Denmark","DNK",2011,800
"Denmark","DNK",2012,661.1
"Denmark","DNK",2015,718
"Denmark","DNK",2016,567
"Egypt","EGY",2010,132546
"Egypt","EGY",2011,127862
"Egypt","EGY",2012,136474
"Egypt","EGY",2013,121805
"Egypt","EGY",2014,130663
"Egypt","EGY",2015,154752
"Egypt","EGY",2016,182323
"Egypt","EGY",2017,273248
"Egypt","EGY",2018,290738
"France","FRA",2010,5492
"France","FRA",2011,5616
"France","FRA",2012,4946
"France","FRA",2013,4769.1
"France","FRA",2014,4211.6
"France","FRA",2015,4137.6
"France","FRA",2016,3850
"France","FRA",2017,3500
"France","FRA",2018,3500
"Greece","GRC",2010,99593
"Greece","GRC",2011,89496
"Greece","GRC",2012,90196.32
"Greece","GRC",2013,91036
"Greece","GRC",2014,84589
"Greece","GRC",2015,84827.6
"Greece","GRC",2016,97020.5
"Greece","GRC",2017,102889.3
"Greece","GRC",2018,106749.4
"Iceland","ISL",2010,1317
"Iceland","ISL",2011,877
"Iceland","ISL",2012,893
"India","IND",2010,18693
"India","IND",2011,52808
"India","IND",2012,84164
"India","IND",2013,90900
"India","IND",2014,90000
"India","IND",2015,90000
"India","IND",2016,90000
"India","IND",2017,96000
"India","IND",2018,110000
"Indonesia","IDN",2010,490405
"Indonesia","IDN",2011,503688.49
"Indonesia","IDN",2012,508592.28
"Indonesia","IDN",2013,617543.86
"Indonesia","IDN",2014,606510.04
"Indonesia","IDN",2015,659059
"Indonesia","IDN",2016,736856.91
"Indonesia","IDN",2017,739352
"Indonesia","IDN",2018,845143
"Iran (Islamic Rep. of)","IRN",2015,2465
"Iran (Islamic Rep. of)","IRN",2016,10162
"Iran (Islamic Rep. of)","IRN",2017,14050
"Iran (Islamic Rep. of)","IRN",2018,21900
"Israel","ISR",2010,1100
"Israel","ISR",2011,1300
"Israel","ISR",2012,1902
"Israel","ISR",2013,2441
"Israel","ISR",2014,2403
"Israel","ISR",2015,1700
"Israel","ISR",2016,1911
"Israel","ISR",2017,2100
"Israel","ISR",2018,2100
"Italy","ITA",2010,12716.5
"Italy","ITA",2011,12180.5
"Italy","ITA",2012,13219
"Italy","ITA",2013,12514
"Italy","ITA",2014,13244.84
"Italy","ITA",2015,13290
"Italy","ITA",2016,15100
"Italy","ITA",2017,15100
"Italy","ITA",2018,12849.16
"Japan","JPN",2010,230947
"Japan","JPN",2011,231490
"Japan","JPN",2012,231105
"Japan","JPN",2013,221060
"Japan","JPN",2014,210448
"Japan","JPN",2015,217326
"Japan","JPN",2016,220973
"Japan","JPN",2017,216127
"Japan","JPN",2018,213100
"Korea, Republic of","KOR",2010,79127
"Korea, Republic of","KOR",2011,71484
"Korea, Republic of","KOR",2012,75128
"Korea, Republic of","KOR",2013,72122
"Korea, Republic of","KOR",2014,82398
"Korea, Republic of","KOR",2015,84235
"Korea, Republic of","KOR",2016,78542
"Korea, Republic of","KOR",2017,84234
"Korea, Republic of","KOR",2018,78150
"Malaysia","MYS",2010,40589
"Malaysia","MYS",2011,35853
"Malaysia","MYS",2012,37088.35
"Malaysia","MYS",2013,34129.45
"Malaysia","MYS",2014,60002.18
"Malaysia","MYS",2015,59927.38
"Malaysia","MYS",2016,41409.28
"Malaysia","MYS",2017,57954.42
"Malaysia","MYS",2018,50713.81
"Malta","MLT",2010,1755
"Malta","MLT",2011,1081.6
"Malta","MLT",2012,3410
"Malta","MLT",2013,2550
"Malta","MLT",2014,2704
"Malta","MLT",2015,2337
"Malta","MLT",2016,2221.21
"Malta","MLT",2017,2458.2
"Malta","MLT",2018,1779.08
"Mauritius","MUS",2014,566
"Mauritius","MUS",2015,584
"Mauritius","MUS",2016,719
"Mauritius","MUS",2017,1200
"Mauritius","MUS",2018,1948
"Mexico","MEX",2013,566.02
"Mexico","MEX",2017,655.98
"Mexico","MEX",2018,596.54
"Myanmar","MMR",2018,1397.85
"Norway","NOR",2010,22849.94
"Norway","NOR",2011,18040.21
"Norway","NOR",2012,11773.5
"Norway","NOR",2013,5154.7
"Norway","NOR",2014,2643
"Norway","NOR",2015,1243.4
"Norway","NOR",2016,1460.9
"Norway","NOR",2017,1623.07
"Norway","NOR",2018,1842.71
"Panama","PAN",2013,980
"Panama","PAN",2014,1459
"Panama","PAN",2015,1200
"Panama","PAN",2016,1500
"Panama","PAN",2017,1800
"Panama","PAN",2018,1753.6
"Philippines","PHL",2010,307768
"Philippines","PHL",2011,331365
"Philippines","PHL",2012,346465
"Philippines","PHL",2013,359578
"Philippines","PHL",2014,353338
"Philippines","PHL",2015,345637
"Philippines","PHL",2016,361199
"Philippines","PHL",2017,365198.3
"Philippines","PHL",2018,347922.7
"Portugal","PRT",2010,3054.5
"Portugal","PRT",2011,3754.7
"Portugal","PRT",2012,5832.4
"Portugal","PRT",2013,4355.3
"Portugal","PRT",2014,5190.02
"Portugal","PRT",2015,3400.69
"Portugal","PRT",2016,3550.84
"Portugal","PRT",2017,4483.83
"Portugal","PRT",2018,3135.34
"Saudi Arabia","SAU",2010,1840
"Saudi Arabia","SAU",2011,1953
"Saudi Arabia","SAU",2012,2148
"Saudi Arabia","SAU",2013,2325
"Saudi Arabia","SAU",2014,4210
"Saudi Arabia","SAU",2015,6945
"Saudi Arabia","SAU",2016,7805
"Saudi Arabia","SAU",2017,7730
"Saudi Arabia","SAU",2018,7700
"Singapore","SGP",2010,2340.24
"Singapore","SGP",2011,1829.46
"Singapore","SGP",2012,1664.1
"Singapore","SGP",2013,2708.52
"Singapore","SGP",2014,2556.7
"Singapore","SGP",2015,3314.82
"Singapore","SGP",2016,3454.2
"Singapore","SGP",2017,2907.2
"Singapore","SGP",2018,2834.97
"Spain","ESP",2010,40395.3
"Spain","ESP",2011,40992.14
"Spain","ESP",2012,38769.8
"Spain","ESP",2013,39855.47
"Spain","ESP",2014,43271.83
"Spain","ESP",2015,43931.48
"Spain","ESP",2016,44320.52
"Spain","ESP",2017,47652.42
"Spain","ESP",2018,47677.44
"Taiwan Province of China","TWN",2010,48350
"Taiwan Province of China","TWN",2011,56976.9
"Taiwan Province of China","TWN",2012,83733
"Taiwan Province of China","TWN",2013,84749.21
"Taiwan Province of China","TWN",2014,87713.81
"Taiwan Province of China","TWN",2015,76012
"Taiwan Province of China","TWN",2016,56922.89
"Taiwan Province of China","TWN",2017,73899.34
"Taiwan Province of China","TWN",2018,75119.55
"Thailand","THA",2010,16210
"Thailand","THA",2011,18410
"Thailand","THA",2012,22154
"Thailand","THA",2013,19256
"Thailand","THA",2014,19088
"Thailand","THA",2015,19013
"Thailand","THA",2016,19307
"Thailand","THA",2017,22455
"Thailand","THA",2018,22494
"Tunisia","TUN",2010,3762
"Tunisia","TUN",2011,7016
"Tunisia","TUN",2012,7272
"Tunisia","TUN",2013,10443
"Tunisia","TUN",2014,9993
"Tunisia","TUN",2015,13018
"Tunisia","TUN",2016,14732
"Tunisia","TUN",2017,20289
"Tunisia","TUN",2018,20751
"Turkey","TUR",2010,81154
"Turkey","TUR",2011,80642
"Turkey","TUR",2012,97210
"Turkey","TUR",2013,104713.6
"Turkey","TUR",2014,119807
"Turkey","TUR",2015,129809
"Turkey","TUR",2016,141564
"Turkey","TUR",2017,161758
"Turkey","TUR",2018,195081
"Ukraine","UKR",2012,534.3
"Ukraine","UKR",2013,905.1
"Ukraine","UKR",2014,900
"Ukraine","UKR",2015,900
"United Arab Emirates","ARE",2016,2294
"United Arab Emirates","ARE",2017,2475
"United Arab Emirates","ARE",2018,2565
"United States of America","USA",2010,1134
"United States of America","USA",2011,1474
"United States of America","USA",2012,1474
"United States of America","USA",2013,2102
"United States of America","USA",2014,2100
"United States of America","USA",2015,2100
"United States of America","USA",2016,1643
"United States of America","USA",2017,1643
"United States of America","USA",2018,3917
"Viet Nam","VNM",2010,77904
"Viet Nam","VNM",2011,134759
"Viet Nam","VNM",2012,117509
"Viet Nam","VNM",2013,78970
"Viet Nam","VNM",2014,75700
"Viet Nam","VNM",2015,10842.95
"Viet Nam","VNM",2016,11979.44
"Viet Nam","VNM",2017,13249.34
"Viet Nam","VNM",2018,13500
