iso3c,region,year,prop_production
CAN,British Columbia,2017,0.6104523057395694
CAN,New Brunswick,2017,0.17019046328714962
CAN,Newfoundland and Labrador,2017,0.1403623865313719
CAN,Nova Scotia,2017,0.07899484444190906
CHL,Aisén del General Carlos Ibáñez del Campo,2017,0.47195021365270323
CHL,Antofagasta,2017,0
CHL,Araucanía,2017,4.496599286196982e-4
CHL,Arica y Parinacota,2017,0
CHL,Atacama,2017,0
CHL,Bío-Bío,2017,1.798639714478793e-5
CHL,Coquimbo,2017,0
CHL,Libertador General Bernardo O'Higgins,2017,0
CHL,Los Lagos,2017,0.41086455472104383
CHL,Los Ríos,2017,3.7000588412135167e-4
CHL,Magallanes y Antártica Chilena,2017,0.11634757941636711
CHL,Maule,2017,0
CHL,Tarapacá,2017,0
CHL,Valparaíso,2017,0
DNK,AFT-Bisserup Havbrug,2017,0.019335420879111633
DNK,Agerso¸ Havbrug,2017,0.02385433057346409
DNK,Åro¸ Havbrug,2017,0.08103256421318256
DNK,As Vig Havbrug,2017,0.018439280185591295
DNK,Asno¦s Fiskeopdro¦t,2017,0.025414873001820024
DNK,Bo¸rup Sande Havbrug,2017,0.020674344450511452
DNK,Bornholms Havbrug A/S,2017,0.007058827810221485
DNK,Borre I Havbrug,2017,0.019119260054548483
DNK,Borre II Havbrug,2017,0.02057587244942166
DNK,Endelave Havbrug,2017,0.01122160089093282
DNK,Fejo¸ Havbrug,2017,0.03174357527047393
DNK,Flo¦ko¸jet Havbrug,2017,0.018777678193955274
DNK,Gro¸nsund Havbrug,2017,0.08649389416738738
DNK,Havbruget Hundshage,2017,0.02508420720601275
DNK,Hjarno¸ Havbrug,2017,0.028737677639055312
DNK,Kongsno¦s Havbrug,2017,0.04065313089794412
DNK,Musholm Lax A/S; o˜st,2017,0.06324267617334618
DNK,Musholm Lax A/S; Vest,2017,0.2819599066585493
DNK,Nordby Bugt Havbrug,2017,0.02608007069971293
DNK,Onsevig Havbrug,2017,0.040316665942719314
DNK,R„go¸ Havbrug,2017,0.04994565846498751
DNK,Skalo¸ Havbrug,2017,0.060238484177050376
FIN,Ab R„g„rds Lax Oy,2017,0.008552972157824844
FIN,"AB SALMONFARM OY, GRANHOLM",2017,0.008327893943145244
FIN,"AB SALMONFARM OY, KASNŽS FISK",2017,0.002625912504595347
FIN,"AB SALMONFARM OY, KASNŽS LAX",2017,0.003676277506433486
FIN,"AB SALMONFARM OY, SKALLERFJŽRDEN",2017,0.007502607155986706
FIN,"AB SALMONFARM OY, VŽSTERHARUN",2017,0.005476903223870295
FIN,Ålands fiskf”r„dling,2017,0.011047589037190423
FIN,Ålands fiskf”r„dling,2017,0.02723446397623174
FIN,Ålands fiskf”r„dling,2017,0.029072602729448484
FIN,Ålands fiskf”r„dling,2017,0.03259882809276224
FIN,Ålands fiskf”r„dling,2017,0.037062879350574326
FIN,Ålands fiskf”r„dling Ab,2017,0.003263634112854217
FIN,Ålands fiskf”r„dling Ab,2017,0.004426538222032156
FIN,Ålands fiskf”r„dling Ab,2017,0.005814520545889696
FIN,Ålands fiskf”r„dling Ab,2017,0.008946859033514146
FIN,Ålands fiskf”r„dling Ab,2017,0.00920945028397368
FIN,Ålands fiskf”r„dling Ab,2017,0.011722823681229228
FIN,Arin Blaze Salmon,2017,0
FIN,"AXEN DENNIS, ALLANDET",2017,0
FIN,"B.KIVELŽ-FORELLODLING, C/O BERIT KIVELŽ",2017,0
FIN,BERGHAMNS FISK KB,2017,0
FIN,BERNHARD SUNDBŽCK,2017,0
FIN,"BOLAX LAX AB, STORHOLMEN",2017,0.006789859476167968
FIN,Br„nd” lax,2017,0.0044828077757020565
FIN,Br„nd” lax,2017,0.004782912061941525
FIN,Br„nd” lax,2017,0.004801668579831492
FIN,Br„nd” lax,2017,0.010803754304620855
FIN,Br„nd” lax,2017,0.011160128144530225
FIN,Br„nd” lax,2017,0.015417857705552679
FIN,Br„nd” lax,2017,0.016074335831701515
FIN,Br„nd” lax,2017,0.0190191091404263
FIN,Br„nd” lax,2017,0.029110115765228418
FIN,Br„nd” lax,2017,0.03554360140148702
FIN,Br„nd” lax,2017,0.03554360140148702
FIN,"BUS™LAX KB, ASKEN",2017,0.006114624832129165
FIN,BŽST™ FORELL AB (SEMILAX KOBBEN),2017,0.00701493769084757
FIN,CHERIS FISK KB,2017,0
FIN,EERO VŽŽTŽJŽ,2017,0
FIN,EKENŽS FORELL,2017,0
FIN,ESAN KALA OY,2017,0.006264676975248899
FIN,"ESAPEKKA UUSIMŽKI, KALANKASV.ESAPEKKA UUSIMŽKI",2017,0
FIN,ETELŽ- JA POHJOIS-IIN KALASTUSKUNNAT,2017,2.8134776834950146e-5
FIN,"EURO-FORELLI OY,HŽMMŽR™",2017,0.00700243334552507
FIN,F:ma Niklas ™sterberg,2017,0
FIN,FISKERISAMMANSLUTN. BOSTR™M & GRANQVIST,2017,0
FIN,Flis” fisk,2017,0.046741242581797175
FIN,Flis” Fisk Ab,2017,0.009115667694523847
FIN,FRANS OCH JAN TILLMAN,2017,0
FIN,GEORG SUNDSTR™M,2017,0
FIN,Granfors Alf Erik,2017,0.0040138948284528875
FIN,GRANLUNDS FISK KB,2017,0.00318860804129435
FIN,GULLKRONAN LOHI OY,2017,0.0040138948284528875
FIN,GUY GRANBERG,2017,0.003751303577993353
FIN,HAAPKARIN KALA,2017,0
FIN,HAKKEENPŽŽN SAHA OY,2017,0
FIN,Hamnsk„rs Lax Oy Ab,2017,0.011516501984439593
FIN,"HAMPIN KALA & MERIKULJETUS OY, PY™RHOLMI",2017,0
FIN,"HAMPIN KALA JA MERIKULJETUS OY, ORSKERI",2017,0.0018231335389047693
FIN,HANDELSBOLAGET ALTARSKŽR FORELL / PER HOLMSTR™M,2017,0
FIN,"HANDELSBOLAGET HELGOLAND, C/O G™RAN o. HÅKAN HOLMSTR™M",2017,0
FIN,"HANG™ LAX KB, C/O LEIF LINDHOLM",2017,0
FIN,HANS OCH G™RAN MELANDER - FISKODLING,2017,0
FIN,"HANSA FISH KB, (542)",2017,0
FIN,"HARRIN LOHI KY, TUOMASLUOTO (443)",2017,0.001838138753216743
FIN,HARRY BŽCKVIK (R™RGRUNDS FISK),2017,0
FIN,"HAVER™N LOHI OY, EKHOLMEN (529)",2017,0.00393886875689302
FIN,"HAVER™N LOHI OY, KLOBBAN (547)",2017,0.0033011471486341505
FIN,"HAVER™N LOHI OY, KLŽPPEN (532)",2017,0.0032261210770742834
FIN,"HAVER™N LOHI OY, KROOK (535)",2017,0.0034511992917538844
FIN,"HAVER™N LOHI OY, KUUSINEN (539)",2017,0.0028134776834950145
FIN,"HAVER™N LOHI OY, LYCKNŽS  (523)",2017,0.004876694651391359
FIN,"HAVER™N LOHI OY, SAHALAHTI (528)",2017,3.0385558981746154e-4
FIN,"HAVER™N LOHI OY, SILLHOLMEN (559)",2017,0.0028885037550548816
