IMAGE_region,prop_nh3_total_grasslands,iso3c,region
canada,0,CAN,Canada
usa,0,SPM,Saint Pierre and Miquelon
usa,0,USA,United States of America
central_america,0.12,AIA,Anguilla
central_america,0.12,ATG,Antigua and Barbuda
central_america,0.12,ABW,Aruba
central_america,0.12,BHS,Bahamas
central_america,0.12,BRB,Barbados
central_america,0.12,BLZ,Belize
central_america,0.12,BMU,Bermuda
central_america,0.12,BES,Bonaire/ Sint Eustatius and Saba
central_america,0.12,VGB,British Virgin Islands
central_america,0.12,CYM,Cayman Islands
central_america,0.12,CRI,Costa Rica
central_america,0.12,CUB,Cuba
central_america,0.12,CUW,Curaçao
central_america,0.12,DOM,Dominican Republic
central_america,0.12,DMA,Dominica
central_america,0.12,SLV,El Salvador
central_america,0.12,GRD,Grenada
central_america,0.12,GLP,Guadeloupe
central_america,0.12,GTM,Guatemala
central_america,0.12,HTI,Haiti
central_america,0.12,HND,Honduras
central_america,0.12,JAM,Jamaica
central_america,0.12,MTQ,Martinique
central_america,0.12,MEX,Mexico
central_america,0.12,MSR,Montserrat
central_america,0.12,NIC,Nicaragua
central_america,0.12,PAN,Panama
central_america,0.12,PRI,Puerto Rico
central_america,0.12,BLM,Saint Barthélemy
central_america,0.12,MAF,Saint Martin (French Part)
central_america,0.12,KNA,Saint Kitts and Nevis
central_america,0.12,LCA,Saint Lucia
central_america,0.12,VCT,Saint Vincent and the Grenadines
central_america,0.12,SXM,Sint Maarten (Dutch part)
central_america,0.12,TTO,Trinidad and Tobago
central_america,0.12,TCA,Turks and Caicos Islands
central_america,0.12,VIR,United States Virgin Islands
south_america,0.08333333333333333,ARG,Argentina
south_america,0.08333333333333333,BOL,Bolivia (Plurinational State of)
south_america,0.08333333333333333,BRA,Brazil
south_america,0.08333333333333333,CHL,Chile
south_america,0.08333333333333333,COL,Colombia
south_america,0.08333333333333333,ECU,Ecuador
south_america,0.08333333333333333,FLK,Falkland Islands (Malvinas)
south_america,0.08333333333333333,GUF,French Guiana
south_america,0.08333333333333333,GUY,Guyana
south_america,0.08333333333333333,PRY,Paraguay
south_america,0.08333333333333333,PER,Peru
south_america,0.08333333333333333,SUR,Suriname
south_america,0.08333333333333333,URY,Uruguay
south_america,0.08333333333333333,VEN,Venezuela (Bolivarian Republic of)
north_africa,0,DZA,Algeria
north_africa,0,EGY,Egypt
north_africa,0,LBY,Libya
north_africa,0,MAR,Morocco
north_africa,0,TUN,Tunisia
north_africa,0,ESH,Western Sahara
western_africa,0,BEN,Benin
western_africa,0,BFA,Burkina Faso
