iso3c,IMAGE_region,region,NUE,system_n_recovery
AFG,south_asia,Afghanistan,52.09722222222223,35.56944444444444
CYP,middle_east,Cyprus,61.263888888888886,48.958333333333336
ALA,industrialized,Åland Islands,57.486111111111114,49.56944444444444
ALB,transition_countries,Albania,77.44444444444444,51.875
DZA,north_africa,Algeria,61.263888888888886,48.958333333333336
ASM,developing,American Samoa,55.56944444444444,43.95833333333333
AND,industrialized,Andorra,57.486111111111114,49.56944444444444
AGO,subsaharan_africa,Angola,123.01388888888889,55.56944444444444
AIA,latin_america,Anguilla,60.09722222222223,46.916666666666664
ATG,latin_america,Antigua and Barbuda,60.09722222222223,46.916666666666664
ARG,latin_america,Argentina,60.09722222222223,46.916666666666664
ARM,transition_countries,Armenia,77.44444444444444,51.875
ABW,latin_america,Aruba,60.09722222222223,46.916666666666664
AUS,industrialized,Australia,57.486111111111114,49.56944444444444
AUT,western_europe,Austria,63.13888888888889,54.875
AZE,transition_countries,Azerbaijan,77.44444444444444,51.875
BHS,latin_america,Bahamas,60.09722222222223,46.916666666666664
BHR,middle_east,Bahrain,61.263888888888886,48.958333333333336
BGD,south_asia,Bangladesh,52.09722222222223,35.56944444444444
BRB,latin_america,Barbados,60.09722222222223,46.916666666666664
BLR,transition_countries,Belarus,77.44444444444444,51.875
BEL,western_europe,Belgium,63.13888888888889,54.875
BLZ,latin_america,Belize,60.09722222222223,46.916666666666664
BEN,subsaharan_africa,Benin,123.01388888888889,55.56944444444444
BMU,north_america,Bermuda,57.791666666666664,48.22222222222222
BTN,south_asia,Bhutan,52.09722222222223,35.56944444444444
BOL,latin_america,Bolivia (Plurinational State of),60.09722222222223,46.916666666666664
BES,latin_america,Bonaire/ Sint Eustatius and Saba,60.09722222222223,46.916666666666664
BIH,transition_countries,Bosnia and Herzegovina,77.44444444444444,51.875
BWA,subsaharan_africa,Botswana,123.01388888888889,55.56944444444444
BRA,latin_america,Brazil,60.09722222222223,46.916666666666664
IOT,subsaharan_africa,British Indian Ocean Territory,123.01388888888889,55.56944444444444
VGB,latin_america,British Virgin Islands,60.09722222222223,46.916666666666664
BRN,southeast_asia,Brunei Darussalam,85.83333333333333,58.916666666666664
BGR,industrialized,Bulgaria,57.486111111111114,49.56944444444444
BFA,subsaharan_africa,Burkina Faso,123.01388888888889,55.56944444444444
BDI,subsaharan_africa,Burundi,123.01388888888889,55.56944444444444
KHM,southeast_asia,Cambodia,85.83333333333333,58.916666666666664
CMR,subsaharan_africa,Cameroon,123.01388888888889,55.56944444444444
CAN,north_america,Canada,57.791666666666664,48.22222222222222
