TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Dicentrarchus,European/spotted seabass,Trawl midwater,high,non-destructive,502682,Large demersals (>=90 cm),pelagic
Siganus,Rabbitfishes,Trap,high,non-destructive,500240,Medium reef assoc. fish (30 - 89 cm),demersal
Euthynnus affinis,Kawakawa,Gillnet,high,non-destructive,600096,Large pelagics (>=90 cm),pelagic
Thunnus albacares,Yellowfin tuna,Pole and Line Tuna,low,non-destructive,600143,Large pelagics (>=90 cm),pelagic
Merluccius gayi gayi,South Pacific hake,Lines Non-tuna,low,non-destructive,600324,Medium bathydemersals (30 - 89 cm),demersal
Merluccius hubbsi,Argentine hake,Lines Non-tuna,low,non-destructive,600325,Medium benthopelagics (30 - 89 cm),pelagic
Diplodus,Seabreams and porgies,Lines Non-tuna,low,non-destructive,500705,Medium benthopelagics (30 - 89 cm),pelagic
Thunnus alalunga,Albacore,Pole and Line Tuna,low,non-destructive,600142,Large pelagics (>=90 cm),pelagic
Mustelus,Smooth-hounds,Gillnet,high,non-destructive,500348,Large sharks (>=90 cm),pelagic
Ascidiacea,Sea squirts,Other,low,non-destructive,290005,Other demersal invertebrates,demersal
Xiphias gladius,Swordfish,LonglineTuna,high,non-destructive,600226,Large pelagics (>=90 cm),pelagic
Clupeiformes,Herrings,Trawl,high,destructive,300028,Small pelagics (<30 cm),demersal
Gadus morhua,Atlantic cod,Trawl midwater,high,non-destructive,600069,Large benthopelagics (>=90 cm),pelagic
Trichiurus lepturus,Largehead hairtail,Trawl,high,destructive,601288,Large benthopelagics (>=90 cm),demersal
Miscellaneous marine molluscs,Marine molluscs,Other,low,non-destructive,NA,NA,demersal
Scomberomorus niphonius,Japanese Spanish mackerel,Gillnet,high,non-destructive,600131,Large pelagics (>=90 cm),pelagic
Mya arenaria,Sand gaper,Other,low,non-destructive,690337,Other demersal invertebrates,demersal
Rajiformes,Skates and rays,Trawl,high,destructive,300014,Large rays (>=90 cm),demersal
Perciformes,Perch-likes,Lines Non-tuna,low,non-destructive,300060,Medium reef assoc. fish (30 - 89 cm),pelagic
Pseudotolithus,Croakers,Lines Non-tuna,low,non-destructive,503152,Large demersals (>=90 cm),demersal
Scombridae,Mackerels tunas bonitos,Gillnet,high,non-destructive,400416,Large pelagics (>=90 cm),pelagic
Katsuwonus pelamis,Skipjack tuna,LonglineTuna,high,non-destructive,600107,Large pelagics (>=90 cm),pelagic
Mustelus,Smooth-hounds,Lines Non-tuna,low,non-destructive,500348,Large sharks (>=90 cm),pelagic
Katsuwonus pelamis,Skipjack tuna,Pole and Line Tuna,low,non-destructive,600107,Large pelagics (>=90 cm),pelagic
Scomber scombrus,Atlantic mackerel,Trap,high,non-destructive,600118,Medium pelagics (30 - 89 cm),demersal
Lophius,Monkfishes,Gillnet,high,non-destructive,500112,Medium bathydemersals (30 - 89 cm),demersal
Scophthalmidae,Turbots,Trawl,high,destructive,400515,Small to medium flatfishes (<90 cm),demersal
Venus (=Chamelea) gallina,Striped venus,Other,low,non-destructive,NA,NA,pelagic
Marine animals,Marine animals,Gillnet,high,non-destructive,NA,NA,pelagic
Loligo,Common squids,Trawl,high,destructive,590010,Cephalopods,demersal
Marine fishes not identified,Marine fishes,Trawl,high,destructive,100039,Medium demersals (30 - 89 cm),demersal
Thunnus obesus,Bigeye tuna,Gillnet,high,non-destructive,600146,Large pelagics (>=90 cm),pelagic
Pecten yessoensis,Yesso scallop,Dredge,high,destructive,690445,Other demersal invertebrates,demersal
Pandalus borealis,Northern prawn,Trawl,high,destructive,690269,Shrimps,demersal
Engraulis encrasicolus,European anchovy,Purse seine Non-tuna,low,non-destructive,600066,Small pelagics (<30 cm),pelagic
Miscellaneous marine molluscs,Marine molluscs,Dredge,high,destructive,NA,NA,demersal
Trachurus,Jack and horse mackerels,Trawl midwater,high,non-destructive,500661,Medium pelagics (30 - 89 cm),pelagic
Pleuronectidae,Righteye flounders,Trawl,high,destructive,400440,Small to medium flatfishes (<90 cm),demersal
Lophius piscatorius,Angler,Gillnet,high,non-destructive,600716,Large bathydemersals (>=90 cm),demersal
Miscellaneous marine crustaceans,Marine crustaceans,Trap,high,non-destructive,100047,Shrimps,demersal
Stromateus fiatola,Blue butterfish,Trawl,high,destructive,601198,Medium benthopelagics (30 - 89 cm),demersal
Aequipecten opercularis,Queen scallop,Other,low,non-destructive,690314,Other demersal invertebrates,demersal
Coryphaena hippurus,Common dolphinfish,Gillnet,high,non-destructive,600006,Large pelagics (>=90 cm),pelagic
Lophius,Monkfishes,Trawl,high,destructive,500112,Medium bathydemersals (30 - 89 cm),demersal
Mytilus edulis,Blue mussel,Other,low,non-destructive,690053,Other demersal invertebrates,demersal
Sardinops sagax,South American pilchard,Purse seine Non-tuna,low,non-destructive,601477,Medium pelagics (30 - 89 cm),pelagic
Thunnus alalunga,Albacore,Gillnet,high,non-destructive,600142,Large pelagics (>=90 cm),pelagic
Busycon,Whelks,Other,low,non-destructive,590110,Other demersal invertebrates,demersal
Seriolella,Barrelfishes,Purse seine Non-tuna,low,non-destructive,502004,Medium benthopelagics (30 - 89 cm),pelagic
Sarda sarda,Atlantic bonito,Purse seine Non-tuna,low,non-destructive,600115,Medium pelagics (30 - 89 cm),pelagic
Trachurus picturatus,Blue jack mackerel,Lines Non-tuna,low,non-destructive,601279,Medium benthopelagics (30 - 89 cm),pelagic
Trachurus trachurus,Atlantic horse mackerel,Trawl,high,destructive,601365,Medium pelagics (30 - 89 cm),demersal
Coregonus autumnalis,Arctic cisco,Lines Non-tuna,low,non-destructive,602669,Medium pelagics (30 - 89 cm),pelagic
Mytilus coruscus,Korean mussel,Dredge,high,destructive,690218,Other demersal invertebrates,demersal
Clupeiformes,Herrings,Purse seine Non-tuna,low,non-destructive,300028,Small pelagics (<30 cm),pelagic
Xiphias gladius,Swordfish,Other,low,non-destructive,600226,Large pelagics (>=90 cm),pelagic
Bregmaceros mcclellandi,Spotted codlet,Seine,high,non-destructive,608421,Small pelagics (<30 cm),pelagic
Saurida tumbil,Greater lizardfish,Gillnet,high,non-destructive,606479,Medium demersals (30 - 89 cm),demersal
Boreogadus saida,Polar cod,Purse seine Non-tuna,low,non-destructive,600319,Medium demersals (30 - 89 cm),demersal
Arca,Ark clams,Other,low,non-destructive,590125,Other demersal invertebrates,demersal
Lutjanidae,Snappers,Lines Non-tuna,low,non-destructive,400323,Medium reef assoc. fish (30 - 89 cm),pelagic
Pseudupeneus prayensis,West African goatfish,Trawl,high,destructive,600453,Medium demersals (30 - 89 cm),demersal
Holothuroidea,Sea cucumbers,Other,low,non-destructive,390012,Other demersal invertebrates,demersal
Mytilus galloprovincialis,Mediterranean mussel,Dredge,high,destructive,690241,Other demersal invertebrates,demersal
Thunnus alalunga,Albacore,Lines Non-tuna,low,non-destructive,600142,Large pelagics (>=90 cm),pelagic
Makaira indica,Black marlin,LonglineTuna,high,non-destructive,NA,NA,pelagic
Anguilliformes,Eels and morays,Trawl,high,destructive,300026,Large demersals (>=90 cm),demersal
Antimora rostrata,Blue antimora,Gillnet,high,non-destructive,602005,Medium bathypelagics (30 - 89 cm),pelagic
Merluccius,Hakes,Lines Non-tuna,low,non-destructive,500654,Medium bathydemersals (30 - 89 cm),demersal
Gadus morhua,Atlantic cod,Gillnet,high,non-destructive,600069,Large benthopelagics (>=90 cm),pelagic
Scomber scombrus,Atlantic mackerel,Purse seine Non-tuna,low,non-destructive,600118,Medium pelagics (30 - 89 cm),pelagic
Anguilliformes,Eels and morays,Gillnet,high,non-destructive,300026,Large demersals (>=90 cm),demersal
Oncorhynchus nerka,Sockeye salmon,Purse seine Non-tuna,low,non-destructive,600243,Medium pelagics (30 - 89 cm),pelagic
Xiphias gladius,Swordfish,Purse seine Tuna,low,non-destructive,600226,Large pelagics (>=90 cm),pelagic
Scomber scombrus,Atlantic mackerel,Lines Non-tuna,low,non-destructive,600118,Medium pelagics (30 - 89 cm),pelagic
Epinephelus,Groupers,Lines Non-tuna,low,non-destructive,500366,Medium reef assoc. fish (30 - 89 cm),pelagic
Sparidae,Porgies,Lines Non-tuna,low,non-destructive,400330,Medium benthopelagics (30 - 89 cm),pelagic
Mugil liza,Liza,Trawl midwater,high,non-destructive,601090,Medium demersals (30 - 89 cm),pelagic
Megalops atlanticus,Tarpon,Lines Non-tuna,low,non-destructive,601079,Large pelagics (>=90 cm),pelagic
Litopenaeus occidentalis,Western white shrimp,Trawl,high,destructive,690433,Shrimps,demersal
Sepiida,Cuttlefishes,Trawl,high,destructive,390006,Cephalopods,demersal
Mullus barbatus barbatus,Red mullet,Other,low,non-destructive,600790,Medium demersals (30 - 89 cm),demersal
Haemulidae,Grunts,Lines Non-tuna,low,non-destructive,400327,Medium reef assoc. fish (30 - 89 cm),pelagic
Scomber scombrus,Atlantic mackerel,Gillnet,high,non-destructive,600118,Medium pelagics (30 - 89 cm),pelagic
Saxidomus gigantea,Butter clam,Dredge,high,destructive,690064,Other demersal invertebrates,demersal
Trichiurus lepturus,Largehead hairtail,Gillnet,high,non-destructive,601288,Large benthopelagics (>=90 cm),pelagic
Thunnus albacares,Yellowfin tuna,LonglineTuna,high,non-destructive,600143,Large pelagics (>=90 cm),pelagic
Teuthida,Squids,Trawl midwater,high,non-destructive,390002,Cephalopods,pelagic
